date,action,price,quantity,cash_after,position_value,total_value
2018-03-15,BUY,42.04967498779297,118,38.13835144042969,4961.86164855957,5000.0
2018-03-20,SELL,41.247047424316406,118,4905.289947509766,4867.151596069336,9772.441543579102
2018-04-18,BUY,41.85902786254883,117,7.783687591552734,4897.506259918213,4905.289947509766
2018-12-21,SELL,35.86443328857422,117,4203.922382354736,4196.138694763184,8400.06107711792
2019-05-06,BUY,49.818119049072266,84,19.200382232666016,4184.72200012207,4203.922382354736
2022-06-03,SELL,142.92225646972656,84,12024.669925689697,12005.469543457031,24030.13946914673
2022-09-26,BUY,148.427001953125,81,2.0827674865722656,12022.587158203125,12024.669925689697
2022-10-07,SELL,137.91297912597656,81,11173.034076690674,11170.951309204102,22343.985385894775
2023-03-22,BUY,155.8726806640625,71,106.07374954223633,11066.960327148438,11173.034076690674
2023-12-29,SELL,190.91366577148438,71,13660.944019317627,13554.87026977539,27215.814289093018
